livello_fan_in,livello_waist,livello_fan_out,massa
2,3,3,174889103820651.0
3,3,2,123849938504862.0
3,3,3,108609080889029.0
2,3,2,105583869465147.0
2,3,4,37619823456720.0
3,3,4,36506103363627.0
4,3,3,24376389026074.0
4,3,2,16799228112813.0
4,3,4,2553778139277.0
3,2,3,1430276806163.0
2,2,3,834025793550.0
3,2,2,613391515464.0
3,4,4,327219988857.0
3,4,3,289934921673.0
2,2,2,233223773255.0
4,4,3,186128957552.0
3,4,5,162401719292.0
4,4,4,111205104823.0
5,4,3,92825473901.0
4,5,5,83535111215.0
3,2,1,76730250711.0
4,5,4,73545178975.0
5,5,5,73001805743.0
5,4,4,68709259078.0
4,4,5,61411090677.0
2,2,1,55526314913.0
5,5,4,43612022819.0
1,2,3,40360786621.0
5,4,5,36072340911.0
2,1,2,28136965126.0
1,2,2,26771571287.0
1,2,1,6501117788.0
2,1,1,5499966122.0
1,1,2,5436816042.0
1,1,1,2510675534.0
