signature,n_pattern,massa
mix->mix,167529989,73112222383795.0
mix->lat,67539982,15983842287641.0
lat->mix,52219059,15893240359162.0
mix->FF,41704957,824946915543.0
FF->mix,38451782,20880303285646.0
lat->lat,31390800,631461288069.0
FF->lat,23135917,12215592050723.0
FB->mix,22991659,413290153386.0
mix->FB,22290766,11025134989105.0
FB->FF,9425670,122965130580.0
lat->FB,9125176,6087751778262.0
lat->FF,8734522,269730822102.0
FF->FB,8034297,1137146843282.0
FF->FF,4776767,151190700211.0
FB->lat,4291306,153688433032.0
FB->FB,1326725,36320106034.0
