waist,n_pattern,massa,massa_max
LOL3,1397352,148930607175905.0,2803199185270.0
MB_ML.MB_CAL3,17121137,6113659677154.0,48389749920.0
MB_MLL3,10962571,2582719259541.0,9715591440.0
LOPL2,263169,707432972881.0,15098046949.0
LOL4,2399117,173640079738.0,3332222276.0
PVLP.LOL4,348811,102644891150.0,8108780883.0
MEL2,820060,51029588745.0,2398629472.0
PVLP.LOL3,152597,49349823778.0,5326778464.0
LOL2,419616,33609883103.0,6622575230.0
AVLPL5,33745307,19951268065.0,34956029.0
IPS.MEL2,154916,14669843988.0,131377170.0
PVLPL4,2481257,13993148662.0,49470792.0
AL.MB_CAL2,223130,11544337836.0,728064814.0
LOL5,299849,8441895478.0,338413335.0
GNG.ICLL4,45869062,6953452526.0,1112778.0
LO.AVLPL4,381736,5372093327.0,76800553.0
SLP.LHL4,2926833,5221875258.0,14488621.0
AL.LHL2,359059,4453420563.0,203483744.0
VES.LALL5,23865142,4040169331.0,356720.0
MEL3,273051,3736744455.0,120795104.0
SLPL4,4854513,3394811335.0,5241556.0
ICLL5,10609512,3121705129.0,1832356.0
LOPL3,332388,3070110038.0,38338732.0
LOPL1,14068,2931359339.0,530703252.0
MB_ML.CREL3,904716,2848697751.0,20304288.0
LOL1,43022,2729023497.0,118785251.0
PVLPL5,1380682,2726961782.0,12127725.0
MB_MLL4,1085991,2545784225.0,8928000.0
IPS.MEL1,79238,2414995477.0,62631306.0
AVLP.PVLPL5,2059731,2328423195.0,24522899.0
LOPL5,41646,2187228459.0,66311568.0
AVLPL4,6809690,1900162664.0,2496028.0
SMP.CREL5,2852875,1719620680.0,5928269.0
GNG.MEL1,34945,1548724222.0,85063650.0
AOTUL5,825066,1475360572.0,12799266.0
PVLP.AVLPL5,438456,1435405225.0,42691249.0
SLP.PLPL4,15541872,1402761987.0,87954.0
PLP.AVLPL3,1084251,1370668087.0,23253342.0
AOTU.LALL5,3404621,1367562527.0,3399549.0
PLP.LOL4,1620336,1334843836.0,2348250.0
GNG.ICLL5,8645261,1250118246.0,496320.0
AVLP.MEL2,263016,1197286897.0,9905770.0
PLP.WEDL3,15622508,1180903698.0,16668.0
MB_VL.SMPL3,321956,1158947915.0,10180011.0
IB.LOL5,3105767,1156211836.0,899115.0
AVLP.ICLL5,5907317,1095917015.0,627400.0
LHL4,1704251,1037676668.0,3503502.0
PVLP.AVLPL4,588806,985863108.0,14657401.0
PLPL4,11538860,948725032.0,363962.0
LOPL4,64776,917490702.0,45575584.0
AVLP.SPSL5,4086377,910483989.0,420813.0
SMP.CREL4,3068400,895744029.0,486929.0
LO.AVLPL3,425284,837123156.0,10053426.0
SMP.LALL5,4890925,834099957.0,795090.0
PLP.SPSL4,8432519,831355497.0,214676.0
SPS.LOL5,2006494,828513609.0,1067592.0
SIP.SPSL4,7800466,818349511.0,259920.0
SMP.SLPL4,4160887,814624421.0,211680.0
SMPL3,7991113,809426399.0,396788.0
SMP.SPSL5,3582474,802943927.0,1151030.0
SPSL5,6837913,802898772.0,715984.0
LAL.AOTUL5,1115512,751416897.0,2834356.0
SMPL5,2688508,743990295.0,1492334.0
LOP.PLPL3,337315,678234414.0,3577634.0
SLP.SCLL5,4958830,666625278.0,178890.0
SPS.MEL2,486499,659303935.0,1945077.0
CRE.SMPL5,5122522,657954861.0,140760.0
SMP.LALL4,6259570,560365365.0,291613.0
ME.LOL1,23935,522078279.0,77598421.0
ALL2,152160,502590748.0,33721390.0
MB_ML.SLPL3,103563,500454649.0,6676200.0
PVLP.AVLPL3,130645,488539252.0,12137580.0
MB_CA.CREL4,41985,488214814.0,9204283.0
AVLP.GNGL5,1218092,462647071.0,3933224.0
ME.LOPL2,235065,460855864.0,16456294.0
SLP.PLPL5,4046597,454626787.0,123165.0
ICL.SCLL5,2496455,445711844.0,371232.0
LALL5,4917127,419890013.0,72275.0
LO.AVLPL2,75500,407425268.0,6396160.0
AVLP.ICLL4,2985778,401012943.0,482220.0
SLP.AVLPL5,2490228,383823471.0,177408.0
VES.SMPL5,4282988,368004925.0,110352.0
ME.LOL3,159073,350668203.0,2062721.0
SPSL4,3369311,338281573.0,323709.0
MB_ML.CREL2,178859,336865656.0,1485404.0
SLPL5,1187908,332066422.0,1819444.0
PLP.LOL2,492677,331569851.0,1072341.0
MB_PED.CREL2,88803,330113561.0,338052.0
LAL.IPSL5,1269210,327781297.0,478164.0
SLP.SMPL4,1239590,315328297.0,4531701.0
SLP.ICLL4,3311301,309674482.0,153492.0
LO.MEL2,49546,298175124.0,4732880.0
SMPL4,3640500,296729472.0,284857.0
ICL.IBL5,2839308,290184788.0,66504.0
LO.PVLPL4,158339,289769794.0,12458971.0
