motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FF,n_FB,n_lat,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
5573140,mixed,mix->FF,mix,FF,2,1,1,1802,12,2.768,1265,0.702,AL,1,2,2,"[ALL2, GNG.ALL1] -> ALL1 -> [AL.LHL2, AL.MB_CAL2]",AL,2,GNG.AL,1,AL.LH,2,AL.MB_CA,2
4443901,mixed,mix->FF,mix,FF,2,1,1,1802,60,3.572,1265,0.702,AL,1,2,2,"[ALL2, SAD.ALL1] -> ALL1 -> [AL.LHL2, AL.MB_CAL2]",AL,2,SAD.AL,1,AL.LH,2,AL.MB_CA,2
3854392,mixed,FB->FF,FB,FF,2,2,0,1802,22,4.551,1266,0.703,AL,1,2,2,"[ALL2, LH.ALL2] -> ALL1 -> [AL.LHL2, AL.MB_CAL2]",AL,2,LH.AL,2,AL.LH,2,AL.MB_CA,2
2003050,mixed,mix->FF,mix,FF,2,1,1,1802,17,4.991,1262,0.7,AL,1,2,2,"[ALL2, SMP.ALL1] -> ALL1 -> [AL.LHL2, AL.MB_CAL2]",AL,2,SMP.AL,1,AL.LH,2,AL.MB_CA,2
1975250,mixed,mix->FF,mix,FF,2,1,1,1802,31,4.875,1263,0.701,AL,1,2,2,"[ALL2, CRE.ALL1] -> ALL1 -> [AL.LHL2, AL.MB_CAL2]",AL,2,CRE.AL,1,AL.LH,2,AL.MB_CA,2
1767154,mixed,FB->FF,FB,FF,2,2,0,1802,46,8.001,1290,0.716,AL,1,2,2,"[ALL2, AL.LHL2] -> ALL1 -> [AL.MB_CAL2, AL.PLPL2]",AL,2,AL.LH,2,AL.MB_CA,2,AL.PLP,2
1692926,mixed,FB->FF,FB,FF,2,2,0,1802,7,2.265,2070,1.149,AL,1,2,2,"[ALL2, GNGL2] -> ALL1 -> [AL.LHL2, AL.MB_CAL2]",AL,2,GNG,2,AL.LH,2,AL.MB_CA,2
1598310,mixed,FB->FF,FB,FF,2,2,0,1802,34,5.015,1290,0.716,AL,1,2,2,"[ALL2, AL.MB_CAL2] -> ALL1 -> [AL.LHL2, AL.PLPL2]",AL,2,AL.MB_CA,2,AL.LH,2,AL.PLP,2
1519318,mixed,FB->FF,FB,FF,2,2,0,1802,21,5.58,1266,0.703,AL,1,2,2,"[AL.LHL2, LH.ALL2] -> ALL1 -> [ALL2, AL.MB_CAL2]",AL.LH,2,LH.AL,2,AL,2,AL.MB_CA,2
1394209,mixed,mix->FF,mix,FF,2,1,1,1802,34,8.18,1265,0.702,AL,1,2,2,"[AL.LHL2, SAD.ALL1] -> ALL1 -> [ALL2, AL.MB_CAL2]",AL.LH,2,SAD.AL,1,AL,2,AL.MB_CA,2
1344508,mixed,mix->FF,mix,FF,2,1,1,1802,4,2.483,1263,0.701,AL,1,2,2,"[ALL2, AL.LHL1] -> ALL1 -> [AL.LHL2, AL.MB_CAL2]",AL,2,AL.LH,1,AL.LH,2,AL.MB_CA,2
1251460,mixed,FB->FF,FB,FF,2,2,0,1802,9,2.759,1354,0.751,AL,1,2,2,"[ALL2, LHL2] -> ALL1 -> [AL.LHL2, AL.MB_CAL2]",AL,2,LH,2,AL.LH,2,AL.MB_CA,2
1162845,mixed,FB->FF,FB,FF,2,2,0,1802,18,2.536,1290,0.716,AL,1,2,2,"[ALL2, AL.PLPL2] -> ALL1 -> [AL.LHL2, AL.MB_CAL2]",AL,2,AL.PLP,2,AL.LH,2,AL.MB_CA,2
1105776,mixed,mix->FF,mix,FF,2,1,1,1802,31,7.676,1265,0.702,AL,1,2,2,"[AL.MB_CAL2, SAD.ALL1] -> ALL1 -> [ALL2, AL.LHL2]",AL.MB_CA,2,SAD.AL,1,AL,2,AL.LH,2
1071281,mixed,mix->FF,mix,FF,2,1,1,1802,10,6.267,1265,0.702,AL,1,2,2,"[AL.LHL2, GNG.ALL1] -> ALL1 -> [ALL2, AL.MB_CAL2]",AL.LH,2,GNG.AL,1,AL,2,AL.MB_CA,2
1041102,mixed,mix->FF,mix,FF,2,1,1,1802,9,3.729,1265,0.702,AL,1,2,2,"[AL.MB_CAL2, GNG.ALL1] -> ALL1 -> [ALL2, AL.LHL2]",AL.MB_CA,2,GNG.AL,1,AL,2,AL.LH,2
1004404,mixed,FB->FF,FB,FF,2,2,0,1802,15,6.125,1266,0.703,AL,1,2,2,"[AL.MB_CAL2, LH.ALL2] -> ALL1 -> [ALL2, AL.LHL2]",AL.MB_CA,2,LH.AL,2,AL,2,AL.LH,2
983342,mixed,FB->FF,FB,FF,2,2,0,1802,15,3.35,1290,0.716,AL,1,2,2,"[AL.LHL2, AL.PLPL2] -> ALL1 -> [ALL2, AL.MB_CAL2]",AL.LH,2,AL.PLP,2,AL,2,AL.MB_CA,2
969150,mixed,FB->FF,FB,FF,2,2,0,1802,13,5.396,1266,0.703,AL,1,2,2,"[ALL2, AL.LHL2] -> ALL1 -> [AL.MB_CAL2, LH.ALL2]",AL,2,AL.LH,2,AL.MB_CA,2,LH.AL,2
960858,mixed,FB->FF,FB,FF,2,2,0,1802,12,3.582,1266,0.703,AL,1,2,2,"[ALL2, AL.MB_CAL2] -> ALL1 -> [AL.LHL2, LH.ALL2]",AL,2,AL.MB_CA,2,AL.LH,2,LH.AL,2
33721390,mixed,mix->lat,mix,lat,1,1,2,908,129,11.637,2191,2.413,AL,2,2,2,"[ALL1, ALL3] -> ALL2 -> [AL.LHL2, AL.MB_CAL2]",AL,1,AL,3,AL.LH,2,AL.MB_CA,2
30590157,mixed,mix->mix,mix,mix,2,0,2,908,91,17.696,2191,2.413,AL,2,2,2,"[ALL1, AL.LHL2] -> ALL2 -> [ALL3, AL.MB_CAL2]",AL,1,AL.LH,2,AL,3,AL.MB_CA,2
28733561,mixed,mix->mix,mix,mix,2,0,2,908,92,25.43,2191,2.413,AL,2,2,2,"[ALL1, AL.MB_CAL2] -> ALL2 -> [ALL3, AL.LHL2]",AL,1,AL.MB_CA,2,AL,3,AL.LH,2
24844367,mixed,lat->mix,lat,mix,1,1,2,908,95,14.774,2191,2.413,AL,2,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL2 -> [ALL1, ALL3]",AL.LH,2,AL.MB_CA,2,AL,1,AL,3
16907618,mixed,mix->mix,mix,mix,0,2,2,908,102,22.161,2191,2.413,AL,2,2,2,"[ALL3, AL.MB_CAL2] -> ALL2 -> [ALL1, AL.LHL2]",AL,3,AL.MB_CA,2,AL,1,AL.LH,2
15868588,mixed,mix->mix,mix,mix,0,2,2,908,101,24.301,2191,2.413,AL,2,2,2,"[ALL3, AL.LHL2] -> ALL2 -> [ALL1, AL.MB_CAL2]",AL,3,AL.LH,2,AL,1,AL.MB_CA,2
9558456,mixed,mix->lat,mix,lat,1,0,3,908,22,4.482,2160,2.379,AL,2,2,2,"[ALL1, LH.ALL2] -> ALL2 -> [AL.LHL2, AL.MB_CAL2]",AL,1,LH.AL,2,AL.LH,2,AL.MB_CA,2
9465593,mixed,mix->lat,mix,lat,1,0,3,908,31,5.843,2184,2.405,AL,2,2,2,"[ALL1, AL.PLPL2] -> ALL2 -> [AL.LHL2, AL.MB_CAL2]",AL,1,AL.PLP,2,AL.LH,2,AL.MB_CA,2
5775576,mixed,mix->lat,mix,lat,1,0,3,908,63,12.885,2184,2.405,AL,2,2,2,"[ALL1, AL.LHL2] -> ALL2 -> [AL.MB_CAL2, AL.PLPL2]",AL,1,AL.LH,2,AL.MB_CA,2,AL.PLP,2
5554240,mixed,mix->lat,mix,lat,1,0,3,908,62,11.401,2184,2.405,AL,2,2,2,"[ALL1, AL.MB_CAL2] -> ALL2 -> [AL.LHL2, AL.PLPL2]",AL,1,AL.MB_CA,2,AL.LH,2,AL.PLP,2
