signature,n_pattern,massa
mix->mix,9186161,39355248484663.0
mix->lat,3837583,10529349193995.0
lat->mix,3762278,9389573192085.0
mix->FF,2217498,238059299685.0
FF->mix,2205435,13548846690833.0
mix->FB,1770782,8736572364047.0
lat->lat,1651892,623833425384.0
FB->mix,1511852,175411734255.0
FF->lat,1324751,12188775156465.0
lat->FB,892450,6078576575882.0
FB->FF,822466,121308285509.0
FF->FB,786216,1121131396721.0
lat->FF,744443,39139339870.0
FB->lat,391107,25955613539.0
FF->FF,57821,151200016.0
FB->FB,22065,229992593.0
