waist,n_pattern,massa,massa_max
LOL3,223359,94580216288257.0,2803199185270.0
MB_ML.MB_CAL3,5446811,5015885549438.0,48389749920.0
MB_MLL3,2646730,1728305109901.0,9715591440.0
LOPL2,263169,707432972881.0,15098046949.0
MEL2,820060,51029588745.0,2398629472.0
LOL2,419616,33609883103.0,6622575230.0
IPS.MEL2,154916,14669843988.0,131377170.0
AL.MB_CAL2,223130,11544337836.0,728064814.0
PVLP.LOL3,19499,4609291943.0,314883456.0
AL.LHL2,359059,4453420563.0,203483744.0
LOPL1,14068,2931359339.0,530703252.0
LOL1,43022,2729023497.0,118785251.0
IPS.MEL1,79238,2414995477.0,62631306.0
GNG.MEL1,34945,1548724222.0,85063650.0
AVLP.MEL2,263016,1197286897.0,9905770.0
LOPL3,75822,857240158.0,31555547.0
SPS.MEL2,486499,659303935.0,1945077.0
MEL3,66359,608566083.0,16333612.0
ME.LOL1,23935,522078279.0,77598421.0
ALL2,152160,502590748.0,33721390.0
MB_ML.CREL3,130625,470774681.0,4693596.0
ME.LOPL2,235065,460855864.0,16456294.0
LO.AVLPL2,75500,407425268.0,6396160.0
PLP.WEDL3,4207513,338513658.0,16308.0
MB_ML.CREL2,178859,336865656.0,1485404.0
PLP.LOL2,492677,331569851.0,1072341.0
MB_PED.CREL2,88803,330113561.0,338052.0
MB_VL.SMPL3,53307,322807096.0,10008372.0
LO.MEL2,49546,298175124.0,4732880.0
LHL2,1113066,202407895.0,412920.0
SPS.LOL2,282047,177327230.0,984036.0
LOP.PLPL3,75955,162781303.0,1912748.0
MB_VL.SMPL2,67341,151847165.0,2334996.0
ME.LOL2,53834,146353053.0,2929506.0
PLP.MEL2,176361,136838644.0,2165421.0
MB_ML.SLPL3,30798,130387379.0,3338100.0
LOP.PLPL2,130955,98625623.0,482448.0
MB_VL.SIPL2,24617,98140381.0,2198376.0
LOP.IPSL3,20159,94285330.0,1442774.0
MB_ML.SIPL2,41654,91763064.0,473280.0
ALL1,10544,91670960.0,5573140.0
LO.PLPL2,239046,75442610.0,102229.0
SPS.MEL1,31992,67898044.0,1336176.0
ME.LOL3,32106,60807950.0,1493578.0
LO.AVLPL3,49667,60287095.0,1324096.0
VES.LOL2,105178,55599494.0,137622.0
ME.PLPL2,231836,50293132.0,179791.0
MB_PED.MB_MLL3,27621,45110849.0,326340.0
PLP.MB_CAL3,100678,40890305.0,254016.0
AL.PLPL2,227743,38909444.0,111898.0
LOP.IPSL2,59119,38419227.0,471896.0
LAL.PLPL2,630795,36310810.0,24504.0
SMP.PRWL2,32741,30897637.0,523884.0
SAD.ALL2,406743,29973383.0,31460.0
WED.ALL2,329976,28724252.0,34272.0
IPS.LOPL2,60642,27200420.0,622002.0
LH.MB_CAL3,105968,26598742.0,73381.0
GNG.LOL1,300847,23867986.0,29094.0
LO.MEL3,37511,22052075.0,299756.0
MB_ML.MB_VLL2,52518,21697970.0,126360.0
PLPL2,447641,21264116.0,30464.0
PLP.AVLPL3,46776,20690909.0,523146.0
PLP.LOL1,37201,19633080.0,250470.0
ME.SPSL2,18977,18839847.0,466818.0
SMPL2,181234,18733172.0,63872.0
LHL3,206551,17838005.0,32411.0
SMPL3,460100,17612327.0,105688.0
PLP.IPSL2,52388,17102698.0,34848.0
MB_VL.MB_MLL2,38174,16456831.0,334152.0
MB_CAL3,8414,15192585.0,784908.0
CRE.LALL2,146314,14642204.0,33696.0
IPSL2,338548,14291807.0,11778.0
LO.PVLPL2,37458,14288474.0,60030.0
SADL2,197907,13002172.0,5462.0
IPS.SADL2,182110,12995739.0,18564.0
GNG.IPSL2,171645,12687379.0,54040.0
PLPL3,243830,12652858.0,21520.0
PRWL2,53584,12466944.0,124065.0
PRWL3,45933,11872524.0,43912.0
SMP.MB_MLL2,30924,11420541.0,231420.0
PRW.GNGL3,10532,11094387.0,129292.0
PLP.LALL3,57133,11079873.0,29520.0
GNGL3,24806,10467975.0,170091.0
SADL3,140922,10433483.0,8720.0
AOTU.FBL2,23077,9907907.0,154040.0
IPS.SPSL2,329934,9802173.0,4410.0
SPSL3,273311,9666334.0,3744.0
ALL3,5049,9457543.0,406146.0
SPS.LOL1,19538,9388470.0,104512.0
ME.PVLPL3,7324,8981198.0,116588.0
SLP.SMPL3,27183,8086804.0,137900.0
SPS.IPSL2,158527,8009360.0,13188.0
LH.ALL2,30817,7432072.0,111369.0
IPS.LALL1,57519,7264751.0,22764.0
ME.SCLL2,12896,7047781.0,47656.0
MB_VL.LHL2,14877,6966324.0,269100.0
PVLP.AVLPL3,9515,6886181.0,158004.0
LO.VESL2,46246,6743157.0,34100.0
LO.PLPL1,38845,6693455.0,28077.0
LO.PLPL3,35139,6412341.0,48440.0
AL.WEDL2,64396,6107262.0,40115.0
SMP.LALL3,136369,6047596.0,4937.0
SPS.MEL3,10469,6026946.0,216108.0
FLA.SLPL3,79397,5791208.0,6048.0
MB_ML.SMPL2,20794,5551290.0,173600.0
SAD.AMMCL3,43672,5543417.0,24566.0
PRW.SMPL3,26822,5485961.0,61224.0
SPS.SADL2,38917,5295585.0,33558.0
GNG.PRWL2,4487,4803530.0,195003.0
PLP.SMPL2,214903,4738002.0,1038.0
IPS.LALL2,82132,4656635.0,10361.0
ME.IPSL2,2916,4588028.0,213240.0
IPS.PLPL2,138180,4557920.0,2880.0
ME.AVLPL3,1234,4473994.0,146328.0
AVLPL2,138148,4464261.0,4032.0
SLPL3,38655,4444189.0,30294.0
PLP.SPSL2,130671,4419890.0,2860.0
SIP.LHL2,12114,4374203.0,149744.0
PLP.LALL2,32192,4353839.0,36960.0
LAL.ALL2,42791,4252943.0,7896.0
AVLPL3,119363,4040104.0,7304.0
FLA.PRWL3,30921,3903598.0,11768.0
