motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FF,n_FB,n_lat,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
2803199185270,mixed,FF->lat,FF,lat,2,0,2,2282,28,1.985,39222,17.188,LO,3,2,2,"[MEL2, ME.LOL2] -> LOL3 -> [LO.LOPL3, ME.LOPL3]",ME,2,ME.LO,2,LO.LOP,3,ME.LOP,3
2669974522452,mixed,FF->lat,FF,lat,2,0,2,2282,14,1.807,34840,15.267,LO,3,2,2,"[MEL2, ME.LOPL2] -> LOL3 -> [LO.LOPL3, ME.LOPL3]",ME,2,ME.LOP,2,LO.LOP,3,ME.LOP,3
2616895275586,mixed,mix->mix,mix,mix,1,1,2,2282,11,1.782,34840,15.267,LO,3,2,2,"[MEL2, ME.LOPL3] -> LOL3 -> [LO.LOPL3, ME.LOPL2]",ME,2,ME.LOP,3,LO.LOP,3,ME.LOP,2
2344872532423,mixed,FF->lat,FF,lat,2,0,2,2282,14,1.598,16652,7.297,LO,3,2,2,"[ME.LOL2, ME.LOPL2] -> LOL3 -> [LO.LOPL3, ME.LOPL3]",ME.LO,2,ME.LOP,2,LO.LOP,3,ME.LOP,3
2308667966179,mixed,mix->mix,mix,mix,1,1,2,2282,11,1.573,16652,7.297,LO,3,2,2,"[ME.LOL2, ME.LOPL3] -> LOL3 -> [LO.LOPL3, ME.LOPL2]",ME.LO,2,ME.LOP,3,LO.LOP,3,ME.LOP,2
2238020075401,mixed,mix->lat,mix,lat,1,0,3,2282,25,1.999,43284,18.968,LO,3,2,2,"[MEL2, MEL3] -> LOL3 -> [LO.LOPL3, ME.LOPL3]",ME,2,ME,3,LO.LOP,3,ME.LOP,3
1883750708317,mixed,mix->mix,mix,mix,1,1,2,2282,9,1.966,39222,17.188,LO,3,2,2,"[MEL2, ME.LOPL3] -> LOL3 -> [LO.LOPL3, ME.LOL2]",ME,2,ME.LOP,3,LO.LOP,3,ME.LO,2
1847163140332,mixed,mix->lat,mix,lat,1,0,3,2282,25,1.901,25096,10.997,LO,3,2,2,"[MEL3, ME.LOL2] -> LOL3 -> [LO.LOPL3, ME.LOPL3]",ME,3,ME.LO,2,LO.LOP,3,ME.LOP,3
1818697778826,mixed,mix->lat,mix,lat,1,0,3,2282,12,1.665,20714,9.077,LO,3,2,2,"[MEL3, ME.LOPL2] -> LOL3 -> [LO.LOPL3, ME.LOPL3]",ME,3,ME.LOP,2,LO.LOP,3,ME.LOP,3
1788169372416,mixed,lat->mix,lat,mix,0,1,3,2282,10,1.639,20714,9.077,LO,3,2,2,"[MEL3, ME.LOPL3] -> LOL3 -> [LO.LOPL3, ME.LOPL2]",ME,3,ME.LOP,3,LO.LOP,3,ME.LOP,2
1604321829882,mixed,mix->mix,mix,mix,1,1,2,2282,5,1.557,16652,7.297,LO,3,2,2,"[ME.LOPL2, ME.LOPL3] -> LOL3 -> [LO.LOPL3, ME.LOL2]",ME.LOP,2,ME.LOP,3,LO.LOP,3,ME.LO,2
1542834008294,mixed,FF->mix,FF,mix,2,1,1,2282,22,1.625,37829,16.577,LO,3,2,2,"[MEL2, ME.LOL2] -> LOL3 -> [LO.LOPL3, ME.LOPL2]",ME,2,ME.LO,2,LO.LOP,3,ME.LOP,2
1495256797137,mixed,mix->mix,mix,mix,1,1,2,2282,8,1.851,34840,15.267,LO,3,2,2,"[LO.LOPL3, MEL2] -> LOL3 -> [ME.LOPL2, ME.LOPL3]",LO.LOP,3,ME,2,ME.LOP,2,ME.LOP,3
1302239404851,mixed,mix->mix,mix,mix,1,1,2,2282,8,1.644,16652,7.297,LO,3,2,2,"[LO.LOPL3, ME.LOL2] -> LOL3 -> [ME.LOPL2, ME.LOPL3]",LO.LOP,3,ME.LO,2,ME.LOP,2,ME.LOP,3
1248912729406,mixed,lat->mix,lat,mix,0,1,3,2282,9,1.865,25096,10.997,LO,3,2,2,"[MEL3, ME.LOPL3] -> LOL3 -> [LO.LOPL3, ME.LOL2]",ME,3,ME.LOP,3,LO.LOP,3,ME.LO,2
1198399617151,mixed,mix->mix,mix,mix,1,1,2,2282,18,1.692,41891,18.357,LO,3,2,2,"[MEL2, MEL3] -> LOL3 -> [LO.LOPL3, ME.LOPL2]",ME,2,ME,3,LO.LOP,3,ME.LOP,2
1112861171214,mixed,mix->mix,mix,mix,1,1,2,2282,6,1.634,33360,14.619,LO,3,2,2,"[MEL2, ME.LOPL3] -> LOL3 -> [LO.LOPL2, LO.LOPL3]",ME,2,ME.LOP,3,LO.LOP,2,LO.LOP,3
1109295445286,mixed,FF->mix,FF,mix,2,1,1,2282,24,1.804,37405,16.391,LO,3,2,2,"[MEL2, ME.LOL2] -> LOL3 -> [ME.LOPL2, ME.LOPL3]",ME,2,ME.LO,2,ME.LOP,2,ME.LOP,3
1093929750969,mixed,mix->mix,mix,mix,1,1,2,2282,6,1.993,39222,17.188,LO,3,2,2,"[LO.LOPL3, MEL2] -> LOL3 -> [ME.LOL2, ME.LOPL3]",LO.LOP,3,ME,2,ME.LO,2,ME.LOP,3
1080723159264,mixed,mix->mix,mix,mix,1,1,2,2282,4,1.277,10790,4.728,LO,3,2,2,"[ME.LOPL2, ME.LOPL3] -> LOL3 -> [LO.LOPL2, LO.LOPL3]",ME.LOP,2,ME.LOP,3,LO.LOP,2,LO.LOP,3
1073083583918,mixed,mix->mix,mix,mix,1,1,2,2282,18,1.492,23703,10.387,LO,3,2,2,"[MEL3, ME.LOL2] -> LOL3 -> [LO.LOPL3, ME.LOPL2]",ME,3,ME.LO,2,LO.LOP,3,ME.LOP,2
1071371813136,mixed,FF->mix,FF,mix,2,1,1,2282,8,1.607,37829,16.577,LO,3,2,2,"[MEL2, ME.LOPL2] -> LOL3 -> [LO.LOPL3, ME.LOL2]",ME,2,ME.LOP,2,LO.LOP,3,ME.LO,2
1012599895667,mixed,lat->mix,lat,mix,0,1,3,2282,7,1.712,20714,9.077,LO,3,2,2,"[LO.LOPL3, MEL3] -> LOL3 -> [ME.LOPL2, ME.LOPL3]",LO.LOP,3,ME,3,ME.LOP,2,ME.LOP,3
1005532377718,mixed,mix->mix,mix,mix,1,1,2,2282,6,1.443,15172,6.649,LO,3,2,2,"[ME.LOL2, ME.LOPL3] -> LOL3 -> [LO.LOPL2, LO.LOPL3]",ME.LO,2,ME.LOP,3,LO.LOP,2,LO.LOP,3
904056065560,mixed,mix->mix,mix,mix,1,1,2,2282,6,1.626,16652,7.297,LO,3,2,2,"[LO.LOPL3, ME.LOPL2] -> LOL3 -> [ME.LOL2, ME.LOPL3]",LO.LOP,3,ME.LOP,2,ME.LO,2,ME.LOP,3
889592640902,mixed,lat->FB,lat,FB,0,2,2,2282,4,1.601,16652,7.297,LO,3,2,2,"[LO.LOPL3, ME.LOPL3] -> LOL3 -> [ME.LOL2, ME.LOPL2]",LO.LOP,3,ME.LOP,3,ME.LO,2,ME.LOP,2
870855962010,mixed,mix->mix,mix,mix,1,1,2,2282,21,1.867,41467,18.171,LO,3,2,2,"[MEL2, MEL3] -> LOL3 -> [ME.LOPL2, ME.LOPL3]",ME,2,ME,3,ME.LOP,2,ME.LOP,3
846184744141,mixed,mix->mix,mix,mix,1,1,2,2282,18,1.909,46273,20.277,LO,3,2,2,"[MEL2, MEL3] -> LOL3 -> [LO.LOPL3, ME.LOL2]",ME,2,ME,3,LO.LOP,3,ME.LO,2
773272705815,mixed,lat->mix,lat,mix,0,1,3,2282,5,1.5,19234,8.429,LO,3,2,2,"[MEL3, ME.LOPL3] -> LOL3 -> [LO.LOPL2, LO.LOPL3]",ME,3,ME.LOP,3,LO.LOP,2,LO.LOP,3
768251934802,mixed,FF->mix,FF,mix,2,1,1,2282,9,1.786,37405,16.391,LO,3,2,2,"[MEL2, ME.LOPL2] -> LOL3 -> [ME.LOL2, ME.LOPL3]",ME,2,ME.LOP,2,ME.LO,2,ME.LOP,3
755971943883,mixed,mix->mix,mix,mix,1,1,2,2282,21,1.661,23279,10.201,LO,3,2,2,"[MEL3, ME.LOL2] -> LOL3 -> [ME.LOPL2, ME.LOPL3]",ME,3,ME.LO,2,ME.LOP,2,ME.LOP,3
753355266311,mixed,mix->FB,mix,FB,1,2,1,2282,8,1.761,37405,16.391,LO,3,2,2,"[MEL2, ME.LOPL3] -> LOL3 -> [ME.LOL2, ME.LOPL2]",ME,2,ME.LOP,3,ME.LO,2,ME.LOP,2
746529314787,mixed,mix->mix,mix,mix,1,1,2,2282,8,1.477,23703,10.387,LO,3,2,2,"[MEL3, ME.LOPL2] -> LOL3 -> [LO.LOPL3, ME.LOL2]",ME,3,ME.LOP,2,LO.LOP,3,ME.LO,2
717905519483,mixed,lat->mix,lat,mix,0,1,3,2282,6,1.923,25096,10.997,LO,3,2,2,"[LO.LOPL3, MEL3] -> LOL3 -> [ME.LOL2, ME.LOPL3]",LO.LOP,3,ME,3,ME.LO,2,ME.LOP,3
713029244467,mixed,FF->mix,FF,mix,2,1,1,2282,9,1.307,31967,14.008,LO,3,2,2,"[MEL2, ME.LOPL2] -> LOL3 -> [LO.LOPL2, LO.LOPL3]",ME,2,ME.LOP,2,LO.LOP,2,LO.LOP,3
675512153613,mixed,FF->mix,FF,mix,2,1,1,2282,9,1.204,13779,6.038,LO,3,2,2,"[ME.LOL2, ME.LOPL2] -> LOL3 -> [LO.LOPL2, LO.LOPL3]",ME.LO,2,ME.LOP,2,LO.LOP,2,LO.LOP,3
668261488700,mixed,FF->mix,FF,mix,2,1,1,2282,18,1.487,36349,15.929,LO,3,2,2,"[MEL2, ME.LOL2] -> LOL3 -> [LO.LOPL2, LO.LOPL3]",ME,2,ME.LO,2,LO.LOP,2,LO.LOP,3
639685878617,mixed,mix->mix,mix,mix,1,1,2,2282,17,1.997,45849,20.092,LO,3,2,2,"[MEL2, MEL3] -> LOL3 -> [ME.LOL2, ME.LOPL3]",ME,2,ME,3,ME.LO,2,ME.LOP,3
629978880311,mixed,mix->mix,mix,mix,1,1,2,2282,6,1.706,33360,14.619,LO,3,2,2,"[LO.LOPL3, MEL2] -> LOL3 -> [LO.LOPL2, ME.LOPL3]",LO.LOP,3,ME,2,LO.LOP,2,ME.LOP,3
598912446439,mixed,mix->mix,mix,mix,1,1,2,2282,6,1.319,10790,4.728,LO,3,2,2,"[LO.LOPL3, ME.LOPL2] -> LOL3 -> [LO.LOPL2, ME.LOPL3]",LO.LOP,3,ME.LOP,2,LO.LOP,2,ME.LOP,3
595198006873,mixed,mix->FB,mix,FB,1,2,1,2282,6,1.653,37829,16.577,LO,3,2,2,"[LO.LOPL3, MEL2] -> LOL3 -> [ME.LOL2, ME.LOPL2]",LO.LOP,3,ME,2,ME.LO,2,ME.LOP,2
592962742044,mixed,lat->FB,lat,FB,0,2,2,2282,4,1.303,10790,4.728,LO,3,2,2,"[LO.LOPL3, ME.LOPL3] -> LOL3 -> [LO.LOPL2, ME.LOPL2]",LO.LOP,3,ME.LOP,3,LO.LOP,2,ME.LOP,2
575386706868,mixed,FF->lat,FF,lat,2,0,2,2282,4,1.179,10790,4.728,LO,3,2,2,"[LO.LOPL2, ME.LOPL2] -> LOL3 -> [LO.LOPL3, ME.LOPL3]",LO.LOP,2,ME.LOP,2,LO.LOP,3,ME.LOP,3
571364916380,mixed,mix->mix,mix,mix,1,1,2,2282,3,1.17,10790,4.728,LO,3,2,2,"[LO.LOPL2, ME.LOPL3] -> LOL3 -> [LO.LOPL3, ME.LOPL2]",LO.LOP,2,ME.LOP,3,LO.LOP,3,ME.LOP,2
562869116437,mixed,mix->mix,mix,mix,1,1,2,2282,6,1.504,15172,6.649,LO,3,2,2,"[LO.LOPL3, ME.LOL2] -> LOL3 -> [LO.LOPL2, ME.LOPL3]",LO.LOP,3,ME.LO,2,LO.LOP,2,ME.LOP,3
561048316020,mixed,FF->lat,FF,lat,2,0,2,2282,4,1.432,33360,14.619,LO,3,2,2,"[LO.LOPL2, MEL2] -> LOL3 -> [LO.LOPL3, ME.LOPL3]",LO.LOP,2,ME,2,LO.LOP,3,ME.LOP,3
524688681924,mixed,mix->mix,mix,mix,1,1,2,2282,9,1.644,23279,10.201,LO,3,2,2,"[MEL3, ME.LOPL2] -> LOL3 -> [ME.LOL2, ME.LOPL3]",ME,3,ME.LOP,2,ME.LO,2,ME.LOP,3
522008122568,mixed,FF->lat,FF,lat,2,0,2,2282,4,1.291,15172,6.649,LO,3,2,2,"[LO.LOPL2, ME.LOL2] -> LOL3 -> [LO.LOPL3, ME.LOPL3]",LO.LOP,2,ME.LO,2,LO.LOP,3,ME.LOP,3
516110474951,mixed,lat->FB,lat,FB,0,2,2,2282,8,1.618,23279,10.201,LO,3,2,2,"[MEL3, ME.LOPL3] -> LOL3 -> [ME.LOL2, ME.LOPL2]",ME,3,ME.LOP,3,ME.LO,2,ME.LOP,2
515154349653,mixed,mix->mix,mix,mix,1,1,2,2282,14,1.548,40411,17.709,LO,3,2,2,"[MEL2, MEL3] -> LOL3 -> [LO.LOPL2, LO.LOPL3]",ME,2,ME,3,LO.LOP,2,LO.LOP,3
