motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FF,n_FB,n_lat,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
13749087261,mixed,FB->mix,FB,mix,1,2,1,647,90,2.34,11082,17.128,LOP,2,2,2,"[LO.LOPL3, ME.LOPL3] -> LOPL2 -> [LOPL3, ME.LOPL2]",LO.LOP,3,ME.LOP,3,LOP,3,ME.LOP,2
8475514989,mixed,FB->mix,FB,mix,1,2,1,647,64,1.594,18869,29.164,LOP,2,2,2,"[LO.LOPL3, ME.LOPL3] -> LOPL2 -> [ME.LOL3, ME.LOPL2]",LO.LOP,3,ME.LOP,3,ME.LO,3,ME.LOP,2
4605400600,mixed,FB->mix,FB,mix,1,2,1,647,57,2.081,9602,14.841,LOP,2,2,2,"[LO.LOPL3, ME.LOPL3] -> LOPL2 -> [LO.LOPL2, LOPL3]",LO.LOP,3,ME.LOP,3,LO.LOP,2,LOP,3
4105998244,mixed,FB->mix,FB,mix,1,2,1,647,24,2.678,8924,13.793,LOP,2,2,2,"[LO.LOPL3, ME.LOPL3] -> LOPL2 -> [LOPL3, LOP.LOL2]",LO.LOP,3,ME.LOP,3,LOP,3,LOP.LO,2
3938939160,mixed,FB->mix,FB,mix,1,2,1,647,50,1.94,10353,16.002,LOP,2,2,2,"[LO.LOPL3, ME.LOPL3] -> LOPL2 -> [LOP.PLPL3, ME.LOPL2]",LO.LOP,3,ME.LOP,3,LOP.PLP,3,ME.LOP,2
3592603225,mixed,FB->mix,FB,mix,1,2,1,647,82,1.015,18869,29.164,LOP,2,2,2,"[LO.LOPL3, ME.LOL3] -> LOPL2 -> [ME.LOPL2, ME.LOPL3]",LO.LOP,3,ME.LO,3,ME.LOP,2,ME.LOP,3
3309158108,mixed,FB->mix,FB,mix,1,2,1,647,53,1.017,16288,25.175,LOP,2,2,2,"[LO.LOPL3, ME.LOL3] -> LOPL2 -> [LOPL3, ME.LOPL2]",LO.LOP,3,ME.LO,3,LOP,3,ME.LOP,2
3297153251,mixed,FB->mix,FB,mix,1,2,1,647,99,1.125,20714,32.015,LOP,2,2,2,"[LO.LOPL3, ME.LOPL3] -> LOPL2 -> [MEL3, ME.LOPL2]",LO.LOP,3,ME.LOP,3,ME,3,ME.LOP,2
2915128255,mixed,FB->mix,FB,mix,1,2,1,647,36,1.997,15464,23.901,LOP,2,2,2,"[LO.LOPL3, ME.LOPL3] -> LOPL2 -> [LOPL3, ME.LOL2]",LO.LOP,3,ME.LOP,3,LOP,3,ME.LO,2
2117360416,mixed,FB->mix,FB,mix,1,2,1,647,41,1.025,20714,32.015,LOP,2,2,2,"[LO.LOPL3, MEL3] -> LOPL2 -> [ME.LOPL2, ME.LOPL3]",LO.LOP,3,ME,3,ME.LOP,2,ME.LOP,3
2109060875,mixed,FB->mix,FB,mix,1,2,1,647,51,1.027,15864,24.519,LOP,2,2,2,"[ME.LOL3, ME.LOPL3] -> LOPL2 -> [LOPL3, ME.LOPL2]",ME.LO,3,ME.LOP,3,LOP,3,ME.LOP,2
2002671629,mixed,FB->mix,FB,mix,1,2,1,647,40,1.423,23251,35.937,LOP,2,2,2,"[LO.LOPL3, ME.LOPL3] -> LOPL2 -> [ME.LOL2, ME.LOL3]",LO.LOP,3,ME.LOP,3,ME.LO,2,ME.LO,3
1977803403,mixed,FB->mix,FB,mix,1,2,1,647,17,1.056,18133,28.026,LOP,2,2,2,"[LO.LOPL3, MEL3] -> LOPL2 -> [LOPL3, ME.LOPL2]",LO.LOP,3,ME,3,LOP,3,ME.LOP,2
1769306443,mixed,FB->mix,FB,mix,1,2,1,647,43,2.374,17389,26.876,LOP,2,2,2,"[LO.LOPL3, ME.LOPL3] -> LOPL2 -> [LO.LOPL2, ME.LOL3]",LO.LOP,3,ME.LOP,3,LO.LOP,2,ME.LO,3
1724798731,mixed,FB->mix,FB,mix,1,2,1,647,26,1.019,25920,40.062,LOP,2,2,2,"[LO.LOPL3, MEL3] -> LOPL2 -> [ME.LOL3, ME.LOPL2]",LO.LOP,3,ME,3,ME.LO,3,ME.LOP,2
1596690671,mixed,FB->mix,FB,mix,1,2,1,647,101,1.605,11082,17.128,LOP,2,2,2,"[LO.LOPL3, LOPL3] -> LOPL2 -> [ME.LOPL2, ME.LOPL3]",LO.LOP,3,LOP,3,ME.LOP,2,ME.LOP,3
1557229504,mixed,FB->mix,FB,mix,1,3,0,647,6,2.943,8844,13.669,LOP,2,2,2,"[LO.LOPL3, ME.LOPL3] -> LOPL2 -> [LOPL3, LOP.LOL1]",LO.LOP,3,ME.LOP,3,LOP,3,LOP.LO,1
1541437752,mixed,FB->mix,FB,mix,1,2,1,647,14,2.955,16711,25.828,LOP,2,2,2,"[LO.LOPL3, ME.LOPL3] -> LOPL2 -> [LOP.LOL2, ME.LOL3]",LO.LOP,3,ME.LOP,3,LOP.LO,2,ME.LO,3
1440037612,mixed,FB->mix,FB,mix,1,2,1,647,54,1.803,16288,25.175,LOP,2,2,2,"[LO.LOPL3, LOPL3] -> LOPL2 -> [ME.LOL3, ME.LOPL2]",LO.LOP,3,LOP,3,ME.LO,3,ME.LOP,2
1405334508,mixed,FB->mix,FB,mix,1,2,1,647,78,1.023,25920,40.062,LOP,2,2,2,"[LO.LOPL3, ME.LOL3] -> LOPL2 -> [MEL3, ME.LOPL2]",LO.LOP,3,ME.LO,3,ME,3,ME.LOP,2
1313565451,mixed,FB->mix,FB,mix,1,2,1,647,53,3.095,8838,13.66,LOP,2,2,2,"[LO.LOPL3, ME.LOPL3] -> LOPL2 -> [LOPL3, LOP.IPSL2]",LO.LOP,3,ME.LOP,3,LOP,3,LOP.IPS,2
1270159068,mixed,FB->mix,FB,mix,1,2,1,647,15,1.671,10127,15.652,LOP,2,2,2,"[LO.LOPL3, ME.LOPL3] -> LOPL2 -> [LOP.LOL3, ME.LOPL2]",LO.LOP,3,ME.LOP,3,LOP.LO,3,ME.LOP,2
1267883563,mixed,FB->mix,FB,mix,1,2,1,647,16,1.079,17709,27.371,LOP,2,2,2,"[MEL3, ME.LOPL3] -> LOPL2 -> [LOPL3, ME.LOPL2]",ME,3,ME.LOP,3,LOP,3,ME.LOP,2
1207870447,mixed,FB->mix,FB,mix,1,2,1,647,121,1.971,10000,15.456,LOP,2,2,2,"[LO.LOPL3, ME.LOPL3] -> LOPL2 -> [LOL2, LOPL3]",LO.LOP,3,ME.LOP,3,LO,2,LOP,3
1141366234,mixed,FB->mix,FB,mix,1,2,1,647,30,1.005,15559,24.048,LOP,2,2,2,"[LO.LOPL3, ME.LOL3] -> LOPL2 -> [LOP.PLPL3, ME.LOPL2]",LO.LOP,3,ME.LO,3,LOP.PLP,3,ME.LOP,2
1118617347,mixed,FB->mix,FB,mix,1,2,1,24835,320,1.767,28502,1.148,ME,2,2,2,"[LOL3, ME.LOL3] -> MEL2 -> [MEL3, ME.LOL2]",LO,3,ME.LO,3,ME,3,ME.LO,2
1098072425,mixed,FB->mix,FB,mix,1,2,1,647,20,1.028,25496,39.406,LOP,2,2,2,"[MEL3, ME.LOPL3] -> LOPL2 -> [ME.LOL3, ME.LOPL2]",ME,3,ME.LOP,3,ME.LO,3,ME.LOP,2
1080143370,mixed,FB->mix,FB,mix,1,2,1,647,27,1.984,8873,13.714,LOP,2,2,2,"[LO.LOPL3, ME.LOPL3] -> LOPL2 -> [LO.LOPL2, LOP.PLPL3]",LO.LOP,3,ME.LOP,3,LO.LOP,2,LOP.PLP,3
968690612,mixed,FB->mix,FB,mix,1,2,1,647,49,1.95,15864,24.519,LOP,2,2,2,"[LOPL3, ME.LOPL3] -> LOPL2 -> [ME.LOL3, ME.LOPL2]",LOP,3,ME.LOP,3,ME.LO,3,ME.LOP,2
922438354,mixed,FB->mix,FB,mix,1,2,1,647,20,1.036,23251,35.937,LOP,2,2,2,"[LO.LOPL3, ME.LOL3] -> LOPL2 -> [ME.LOL2, ME.LOPL3]",LO.LOP,3,ME.LO,3,ME.LO,2,ME.LOP,3
897279077,mixed,FB->mix,FB,mix,1,2,1,647,64,1.037,25496,39.406,LOP,2,2,2,"[ME.LOL3, ME.LOPL3] -> LOPL2 -> [MEL3, ME.LOPL2]",ME.LO,3,ME.LOP,3,ME,3,ME.LOP,2
890754566,mixed,FB->mix,FB,mix,1,2,1,647,19,2.501,8195,12.666,LOP,2,2,2,"[LO.LOPL3, ME.LOPL3] -> LOPL2 -> [LOP.LOL2, LOP.PLPL3]",LO.LOP,3,ME.LOP,3,LOP.LO,2,LOP.PLP,3
877457373,mixed,FB->mix,FB,mix,1,2,1,647,22,1.663,14735,22.774,LOP,2,2,2,"[LO.LOPL3, ME.LOPL3] -> LOPL2 -> [LOP.PLPL3, ME.LOL2]",LO.LOP,3,ME.LOP,3,LOP.PLP,3,ME.LO,2
871863687,mixed,FB->mix,FB,mix,1,2,1,647,45,1.21,25096,38.788,LOP,2,2,2,"[LO.LOPL3, ME.LOPL3] -> LOPL2 -> [MEL3, ME.LOL2]",LO.LOP,3,ME.LOP,3,ME,3,ME.LO,2
857950583,mixed,FB->mix,FB,mix,1,3,0,647,176,3.096,8836,13.657,LOP,2,2,2,"[LO.LOPL3, ME.LOPL3] -> LOPL2 -> [LOPL1, LOPL3]",LO.LOP,3,ME.LOP,3,LOP,1,LOP,3
850826263,mixed,FB->mix,FB,mix,1,2,1,647,15,1.04,20670,31.947,LOP,2,2,2,"[LO.LOPL3, ME.LOL3] -> LOPL2 -> [LOPL3, ME.LOL2]",LO.LOP,3,ME.LO,3,LOP,3,ME.LO,2
781544025,mixed,FB->mix,FB,mix,1,2,1,647,79,1.017,18869,29.164,LOP,2,2,2,"[ME.LOL3, ME.LOPL3] -> LOPL2 -> [LO.LOPL3, ME.LOPL2]",ME.LO,3,ME.LOP,3,LO.LOP,3,ME.LOP,2
737884962,mixed,FB->mix,FB,mix,1,2,1,647,10,1.594,8647,13.365,LOP,2,2,2,"[LO.LOPL3, ME.LOPL3] -> LOPL2 -> [LO.LOPL2, LOP.LOL3]",LO.LOP,3,ME.LOP,3,LO.LOP,2,LOP.LO,3
730895235,mixed,FB->mix,FB,mix,1,2,1,647,55,1.306,12287,18.991,LOP,2,2,2,"[LO.LOPL3, ME.LOPL3] -> LOPL2 -> [LOL3, ME.LOPL2]",LO.LOP,3,ME.LOP,3,LO,3,ME.LOP,2
724749028,mixed,FB->mix,FB,mix,1,2,1,647,28,1.008,15135,23.393,LOP,2,2,2,"[ME.LOL3, ME.LOPL3] -> LOPL2 -> [LOP.PLPL3, ME.LOPL2]",ME.LO,3,ME.LOP,3,LOP.PLP,3,ME.LOP,2
723749668,mixed,FB->mix,FB,mix,1,2,1,647,20,1.036,10160,15.703,LOP,2,2,2,"[LO.LOPL3, ME.LOPL3] -> LOPL2 -> [LO.MEL3, ME.LOPL2]",LO.LOP,3,ME.LOP,3,LO.ME,3,ME.LOP,2
710743614,mixed,FB->mix,FB,mix,1,2,1,24835,90,1.852,22013,0.886,ME,2,2,2,"[LOL3, ME.LOL3] -> MEL2 -> [MEL3, ME.PLPL2]",LO,3,ME.LO,3,ME,3,ME.PLP,2
703846038,mixed,FB->mix,FB,mix,1,2,1,647,56,2.137,7772,12.012,LOP,2,2,2,"[LO.LOPL3, LOPL3] -> LOPL2 -> [LOP.PLPL3, ME.LOPL2]",LO.LOP,3,LOP,3,LOP.PLP,3,ME.LOP,2
675544584,mixed,FB->mix,FB,mix,1,2,1,647,10,1.024,17404,26.9,LOP,2,2,2,"[LO.LOPL3, MEL3] -> LOPL2 -> [LOP.PLPL3, ME.LOPL2]",LO.LOP,3,ME,3,LOP.PLP,3,ME.LOP,2
654917026,mixed,FB->mix,FB,mix,1,2,1,647,28,2.945,33652,52.012,LOP,2,2,2,"[LO.LOPL3, ME.LOPL3] -> LOPL2 -> [LOPL3, MEL2]",LO.LOP,3,ME.LOP,3,LOP,3,ME,2
652321496,mixed,FB->mix,FB,mix,1,2,1,647,20,2.249,16625,25.696,LOP,2,2,2,"[LO.LOPL3, ME.LOPL3] -> LOPL2 -> [LOP.IPSL2, ME.LOL3]",LO.LOP,3,ME.LOP,3,LOP.IPS,2,ME.LO,3
629098856,mixed,FB->mix,FB,mix,1,2,1,647,13,1.953,7969,12.317,LOP,2,2,2,"[LO.LOPL3, ME.LOPL3] -> LOPL2 -> [LOP.LOL2, LOP.LOL3]",LO.LOP,3,ME.LOP,3,LOP.LO,2,LOP.LO,3
