waist,n_pattern,massa,massa_max
visual_centrifugalL2,6262,10436776754.0,1560832441.0
visual_centrifugalL1,918,2451218108.0,668439453.0
opticL2,1266,2077846204.0,460985309.0
visual_centrifugalL3,1251,1794209818.0,479385206.0
visual_projectionL2,5648,543238800.0,59010736.0
visual_projectionL3,953,109194794.0,28330762.0
centralL2,6654,91863573.0,31682459.0
centralL3,1233,24058762.0,2234338.0
opticL3,154,19141708.0,5535255.0
opticL1,139,12006216.0,2180087.0
centralL1,350,11848882.0,9026828.0
descendingL3,653,7349701.0,598062.0
visual_projectionL1,503,4441808.0,366183.0
descendingL2,1882,1110029.0,20282.0
ascendingL3,324,435661.0,50358.0
ascendingL2,723,299947.0,14158.0
ascendingL1,27,6529.0,1008.0
sensoryL2,88,5625.0,410.0
sensoryL3,39,2741.0,678.0
descendingL1,24,732.0,102.0
