motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FWD,n_BWD,n_LAT,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
1560832441,mixed,mix->mix,mix,mix,1,1,2,311,82,3.894,48605,156.286,visual_centrifugal,2,2,2,"[centralL1, centralL2] -> visual_centrifugalL2 -> [opticL1, opticL2]",central,1,central,2,optic,1,optic,2
1284918903,mixed,mix->mix,mix,mix,0,2,2,311,81,3.897,57505,184.904,visual_centrifugal,2,2,2,"[centralL2, centralL3] -> visual_centrifugalL2 -> [opticL1, opticL2]",central,2,central,3,optic,1,optic,2
704928513,mixed,mix->mix,mix,mix,1,2,1,311,73,3.9,52588,169.093,visual_centrifugal,2,2,2,"[centralL1, centralL3] -> visual_centrifugalL2 -> [opticL1, opticL2]",central,1,central,3,optic,1,optic,2
668439453,mixed,mix->mix,mix,mix,1,1,2,45,20,2.899,48605,1080.111,visual_centrifugal,1,2,2,"[centralL1, centralL2] -> visual_centrifugalL1 -> [opticL1, opticL2]",central,1,central,2,optic,1,optic,2
479385206,mixed,mix->mix,mix,mix,1,1,2,81,22,1.018,69305,855.617,visual_centrifugal,3,2,2,"[visual_projectionL2, visual_projectionL3] -> visual_centrifugalL3 -> [opticL2, opticL3]",visual_projection,2,visual_projection,3,optic,2,optic,3
460985309,mixed,mix->mix,mix,mix,1,1,2,35584,1300,2.541,34032,0.956,optic,2,2,2,"[opticL3, visual_centrifugalL2] -> opticL2 -> [visual_projectionL2, visual_projectionL3]",optic,3,visual_centrifugal,2,visual_projection,2,visual_projection,3
398604508,mixed,LAT->mix,LAT,mix,0,1,3,311,65,4.002,49132,157.981,visual_centrifugal,2,2,2,"[centralL2, visual_projectionL2] -> visual_centrifugalL2 -> [opticL1, opticL2]",central,2,visual_projection,2,optic,1,optic,2
384182573,mixed,LAT->mix,LAT,mix,0,1,3,81,24,1.022,77678,958.988,visual_centrifugal,3,2,2,"[centralL3, visual_projectionL3] -> visual_centrifugalL3 -> [opticL2, opticL3]",central,3,visual_projection,3,optic,2,optic,3
288115721,mixed,mix->mix,mix,mix,1,1,2,81,25,1.021,73695,909.815,visual_centrifugal,3,2,2,"[centralL2, visual_projectionL3] -> visual_centrifugalL3 -> [opticL2, opticL3]",central,2,visual_projection,3,optic,2,optic,3
285285543,mixed,mix->mix,mix,mix,1,1,2,311,119,10.677,80415,258.569,visual_centrifugal,2,2,2,"[centralL2, centralL3] -> visual_centrifugalL2 -> [opticL2, opticL3]",central,2,central,3,optic,2,optic,3
280849331,mixed,BWD->mix,BWD,mix,1,2,1,45,22,3.963,49132,1091.822,visual_centrifugal,1,2,2,"[centralL2, visual_projectionL2] -> visual_centrifugalL1 -> [opticL1, opticL2]",central,2,visual_projection,2,optic,1,optic,2
279287156,mixed,LAT->mix,LAT,mix,0,1,3,311,51,3.622,48625,156.35,visual_centrifugal,2,2,2,"[ascendingL2, centralL2] -> visual_centrifugalL2 -> [opticL1, opticL2]",ascending,2,central,2,optic,1,optic,2
