motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FWD,n_BWD,n_LAT,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
216,mixed,mix->mix,mix,mix,1,1,2,153,1,1.0,15767,103.052,ascending,1,2,2,"[centralL1, centralL2] -> ascendingL1 -> [sensoryL1, sensoryL2]",central,1,central,2,sensory,1,sensory,2
132,mixed,mix->mix,mix,mix,1,1,2,153,1,1.0,12293,80.346,ascending,1,2,2,"[ascendingL2, centralL1] -> ascendingL1 -> [centralL2, sensoryL1]",ascending,2,central,1,central,2,sensory,1
120,mixed,mix->mix,mix,mix,1,1,2,153,1,1.0,15767,103.052,ascending,1,2,2,"[centralL2, sensoryL1] -> ascendingL1 -> [centralL1, sensoryL2]",central,2,sensory,1,central,1,sensory,2
88,mixed,mix->mix,mix,mix,1,1,2,153,1,1.0,15767,103.052,ascending,1,2,2,"[centralL1, sensoryL2] -> ascendingL1 -> [centralL2, sensoryL1]",central,1,sensory,2,central,2,sensory,1
80,mixed,mix->mix,mix,mix,1,1,2,153,1,1.0,12293,80.346,ascending,1,2,2,"[centralL2, sensoryL1] -> ascendingL1 -> [ascendingL2, centralL1]",central,2,sensory,1,ascending,2,central,1
74,mixed,mix->mix,mix,mix,1,1,2,153,2,1.239,12293,80.346,ascending,1,2,2,"[ascendingL2, sensoryL1] -> ascendingL1 -> [centralL1, centralL2]",ascending,2,sensory,1,central,1,central,2
74,mixed,mix->mix,mix,mix,1,1,2,153,2,1.239,15767,103.052,ascending,1,2,2,"[sensoryL1, sensoryL2] -> ascendingL1 -> [centralL1, centralL2]",sensory,1,sensory,2,central,1,central,2
72,mixed,mix->mix,mix,mix,1,1,2,153,1,1.0,10870,71.046,ascending,1,2,2,"[ascendingL2, centralL1] -> ascendingL1 -> [sensoryL1, sensoryL2]",ascending,2,central,1,sensory,1,sensory,2
38,mixed,mix->mix,mix,mix,1,1,2,153,2,1.111,10870,71.046,ascending,1,2,2,"[ascendingL2, sensoryL1] -> ascendingL1 -> [centralL1, sensoryL2]",ascending,2,sensory,1,central,1,sensory,2
202,mixed,mix->FWD,mix,FWD,2,1,1,153,2,1.04,15787,103.183,ascending,1,2,2,"[ascendingL2, sensoryL1] -> ascendingL1 -> [centralL2, sensoryL2]",ascending,2,sensory,1,central,2,sensory,2
198,mixed,mix->FWD,mix,FWD,2,1,1,153,1,1.0,10571,69.092,ascending,1,2,2,"[ascendingL2, centralL1] -> ascendingL1 -> [centralL2, sensoryL2]",ascending,2,central,1,central,2,sensory,2
56,mixed,mix->FWD,mix,FWD,2,1,1,153,1,1.0,6594,43.098,ascending,1,2,2,"[centralL1, descendingL2] -> ascendingL1 -> [ascendingL2, centralL2]",central,1,descending,2,ascending,2,central,2
56,mixed,mix->FWD,mix,FWD,2,1,1,153,1,1.0,10571,69.092,ascending,1,2,2,"[centralL1, sensoryL2] -> ascendingL1 -> [ascendingL2, centralL2]",central,1,sensory,2,ascending,2,central,2
168,mixed,BWD->LAT,BWD,LAT,0,2,2,153,2,1.849,12293,80.346,ascending,1,2,2,"[ascendingL2, centralL2] -> ascendingL1 -> [centralL1, sensoryL1]",ascending,2,central,2,central,1,sensory,1
132,mixed,BWD->LAT,BWD,LAT,0,2,2,153,2,1.984,15767,103.052,ascending,1,2,2,"[centralL2, sensoryL2] -> ascendingL1 -> [centralL1, sensoryL1]",central,2,sensory,2,central,1,sensory,1
44,mixed,BWD->LAT,BWD,LAT,0,2,2,153,3,2.142,10870,71.046,ascending,1,2,2,"[ascendingL2, sensoryL2] -> ascendingL1 -> [centralL1, sensoryL1]",ascending,2,sensory,2,central,1,sensory,1
1008,mixed,BWD->mix,BWD,mix,1,2,1,153,5,3.21,10571,69.092,ascending,1,2,2,"[ascendingL2, sensoryL2] -> ascendingL1 -> [centralL1, centralL2]",ascending,2,sensory,2,central,1,central,2
828,mixed,BWD->mix,BWD,mix,1,2,1,153,2,1.516,15787,103.183,ascending,1,2,2,"[ascendingL2, centralL2] -> ascendingL1 -> [sensoryL1, sensoryL2]",ascending,2,central,2,sensory,1,sensory,2
688,mixed,BWD->mix,BWD,mix,1,2,1,153,2,1.833,10068,65.804,ascending,1,2,2,"[descendingL2, sensoryL2] -> ascendingL1 -> [centralL1, centralL2]",descending,2,sensory,2,central,1,central,2
636,mixed,BWD->mix,BWD,mix,1,2,1,153,2,1.994,6594,43.098,ascending,1,2,2,"[ascendingL2, descendingL2] -> ascendingL1 -> [centralL1, centralL2]",ascending,2,descending,2,central,1,central,2
