waist,n_pattern,massa,massa_max
MBL3,115513,62544093207.0,366080715.0
OL.VMNPL2,112637,10591754528.0,339861350.0
AL.MBL2,63620,9622953856.0,1515876724.0
AL.LHL2,156109,3835666054.0,516549638.0
OL.VMNPL1,9635,1383493226.0,168591062.0
GNG.OLL1,33908,1076776868.0,101203779.0
OL.VLNPL2,137567,823529762.0,34402652.0
OLL2,54898,781777577.0,46116062.0
ALL2,69005,468555015.0,34601831.0
INP.MBL3,11785,266418679.0,10699050.0
INP.MBL2,15796,230010998.0,12440188.0
OL.VLNPL3,12284,216624301.0,32350315.0
MB.SNPL3,4472,191242506.0,60415531.0
VLNPL3,492075,179802445.0,149114.0
LHL2,279837,169016526.0,709786.0
MB.SNPL2,15086,128991020.0,10061840.0
ALL1,5198,78457178.0,5763648.0
AL.VLNPL2,173686,63227552.0,269298.0
OL.VMNPL3,9540,41485474.0,1252507.0
LX.VLNPL2,239328,39648169.0,53430.0
VLNP.VMNPL2,239640,29709852.0,130854.0
AL.PENPL2,138015,29195903.0,48620.0
VLNPL2,232972,26473025.0,90090.0
VMNPL2,269189,24460685.0,26250.0
MB.VLNPL3,12611,17506536.0,684936.0
PENP.SNPL2,3045,17076171.0,1169640.0
PENP.VMNPL2,76558,16464945.0,83339.0
OLL3,10216,16203008.0,1041520.0
LH.MBL3,21256,15493602.0,152250.0
PENPL2,37475,15482423.0,175967.0
LHL3,57005,14299950.0,124087.0
OL.VLNPL1,10729,13674047.0,668086.0
GNG.VMNPL2,108452,13638481.0,94665.0
PENPL3,21529,11933491.0,157251.0
SNPL3,130534,11747955.0,19902.0
INP.LXL2,80647,11406432.0,15240.0
SNPL2,82098,10172930.0,24002.0
VMNPL3,112151,9287641.0,14895.0
ALL3,2380,8466983.0,682342.0
GNGL3,11843,8449631.0,270543.0
CX.VLNPL2,6561,8246673.0,317814.0
OLL1,5172,7597146.0,694377.0
LX.VLNPL3,11492,6967297.0,41580.0
VLNP.VMNPL3,105846,6587190.0,4303.0
GNG.PENPL2,23432,6567327.0,200113.0
PENP.SNPL3,23923,6445781.0,196730.0
SNP.VLNPL2,115878,6441719.0,8927.0
GNG.PENPL3,7774,6066209.0,223885.0
INP.OLL2,5904,5986475.0,302226.0
LX.SNPL3,44447,5775981.0,16650.0
LH.SNPL2,36190,5064322.0,56032.0
