motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FWD,n_BWD,n_LAT,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
1515876724,mixed,mix->mix,mix,mix,2,0,2,145,144,14.855,7385,50.931,AL.MB,2,2,2,"[ALL1, ALL2] -> AL.MBL2 -> [MBL2, MBL3]",AL,1,AL,2,MB,2,MB,3
651214224,mixed,mix->FWD,mix,FWD,3,0,1,145,142,17.988,6195,42.724,AL.MB,2,2,2,"[ALL1, ALL2] -> AL.MBL2 -> [LH.SNPL3, MBL3]",AL,1,AL,2,LH.SNP,3,MB,3
575441639,mixed,mix->FWD,mix,FWD,3,0,1,145,142,21.908,6058,41.779,AL.MB,2,2,2,"[ALL1, ALL2] -> AL.MBL2 -> [LHL3, MBL3]",AL,1,AL,2,LH,3,MB,3
516549638,mixed,mix->mix,mix,mix,2,0,2,214,87,11.83,7385,34.509,AL.LH,2,2,2,"[ALL1, ALL2] -> AL.LHL2 -> [MBL2, MBL3]",AL,1,AL,2,MB,2,MB,3
366080715,mixed,mix->mix,mix,mix,1,1,2,2764,3,1.997,2321,0.84,MB,3,2,2,"[AL.MBL2, MB.VLNPL3] -> MBL3 -> [INP.MBL3, MBL2]",AL.MB,2,MB.VLNP,3,INP.MB,3,MB,2
365579120,mixed,mix->mix,mix,mix,1,1,2,2764,2,1.997,2321,0.84,MB,3,2,2,"[AL.MBL2, INP.MBL3] -> MBL3 -> [MBL2, MB.VLNPL3]",AL.MB,2,INP.MB,3,MB,2,MB.VLNP,3
363081681,mixed,mix->BWD,mix,BWD,1,2,1,2764,3,1.746,2317,0.838,MB,3,2,2,"[AL.MBL2, INP.MBL3] -> MBL3 -> [INP.MBL2, MBL2]",AL.MB,2,INP.MB,3,INP.MB,2,MB,2
361981920,mixed,LAT->BWD,LAT,BWD,0,2,2,2764,2,1.999,2321,0.84,MB,3,2,2,"[INP.MBL3, MB.VLNPL3] -> MBL3 -> [AL.MBL2, MBL2]",INP.MB,3,MB.VLNP,3,AL.MB,2,MB,2
361880920,mixed,FWD->LAT,FWD,LAT,2,0,2,2764,2,1.994,2321,0.84,MB,3,2,2,"[AL.MBL2, MBL2] -> MBL3 -> [INP.MBL3, MB.VLNPL3]",AL.MB,2,MB,2,INP.MB,3,MB.VLNP,3
358229864,mixed,mix->mix,mix,mix,1,1,2,2764,2,1.998,2321,0.84,MB,3,2,2,"[MBL2, MB.VLNPL3] -> MBL3 -> [AL.MBL2, INP.MBL3]",MB,2,MB.VLNP,3,AL.MB,2,INP.MB,3
357737320,mixed,mix->mix,mix,mix,1,1,2,2764,2,1.997,2321,0.84,MB,3,2,2,"[INP.MBL3, MBL2] -> MBL3 -> [AL.MBL2, MB.VLNPL3]",INP.MB,3,MB,2,AL.MB,2,MB.VLNP,3
357341153,mixed,FWD->mix,FWD,mix,2,1,1,2764,5,1.759,2317,0.838,MB,3,2,2,"[AL.MBL2, MBL2] -> MBL3 -> [INP.MBL2, INP.MBL3]",AL.MB,2,MB,2,INP.MB,2,INP.MB,3
356811780,mixed,FWD->mix,FWD,mix,2,1,1,2764,2,1.758,2317,0.838,MB,3,2,2,"[AL.MBL2, INP.MBL2] -> MBL3 -> [INP.MBL3, MBL2]",AL.MB,2,INP.MB,2,INP.MB,3,MB,2
