motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FWD,n_BWD,n_LAT,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
43223,mixed,mix->mix,mix,mix,1,1,2,1802,6,1.477,1130,0.627,AL,1,2,2,"[ALL2, AL.PENPL1] -> ALL1 -> [AL.GNGL1, AL.LHL2]",AL,2,AL.PENP,1,AL.GNG,1,AL.LH,2
37879,mixed,mix->mix,mix,mix,1,1,2,1802,8,4.761,1060,0.588,AL,1,2,2,"[ALL2, AL.PENPL1] -> ALL1 -> [AL.INPL1, AL.MBL2]",AL,2,AL.PENP,1,AL.INP,1,AL.MB,2
37830,mixed,mix->mix,mix,mix,1,1,2,1802,6,1.337,1061,0.589,AL,1,2,2,"[ALL2, AL.PENPL1] -> ALL1 -> [AL.GNGL1, AL.MBL2]",AL,2,AL.PENP,1,AL.GNG,1,AL.MB,2
29549,mixed,mix->mix,mix,mix,1,1,2,1802,8,5.633,1060,0.588,AL,1,2,2,"[ALL2, AL.GNGL1] -> ALL1 -> [AL.INPL1, AL.MBL2]",AL,2,AL.GNG,1,AL.INP,1,AL.MB,2
26534,mixed,mix->mix,mix,mix,1,1,2,1802,8,5.054,1129,0.627,AL,1,2,2,"[ALL2, AL.PENPL1] -> ALL1 -> [AL.INPL1, AL.LHL2]",AL,2,AL.PENP,1,AL.INP,1,AL.LH,2
25220,mixed,mix->mix,mix,mix,1,1,2,1802,8,2.764,1062,0.589,AL,1,2,2,"[ALL2, AL.PENPL1] -> ALL1 -> [AL.MBL2, AL.VLNPL1]",AL,2,AL.PENP,1,AL.MB,2,AL.VLNP,1
24511,mixed,mix->mix,mix,mix,1,1,2,1802,8,6.064,1059,0.588,AL,1,2,2,"[ALL2, AL.SNPL1] -> ALL1 -> [AL.INPL1, AL.MBL2]",AL,2,AL.SNP,1,AL.INP,1,AL.MB,2
22575,mixed,mix->mix,mix,mix,1,1,2,1802,8,6.043,1129,0.627,AL,1,2,2,"[ALL2, AL.GNGL1] -> ALL1 -> [AL.INPL1, AL.LHL2]",AL,2,AL.GNG,1,AL.INP,1,AL.LH,2
21522,mixed,mix->mix,mix,mix,1,1,2,1802,5,4.823,1059,0.588,AL,1,2,2,"[ALL2, AL.LHL1] -> ALL1 -> [AL.INPL1, AL.MBL2]",AL,2,AL.LH,1,AL.INP,1,AL.MB,2
20588,mixed,mix->mix,mix,mix,1,1,2,1802,7,4.513,1129,0.627,AL,1,2,2,"[AL.LHL2, AL.PENPL1] -> ALL1 -> [ALL2, AL.INPL1]",AL.LH,2,AL.PENP,1,AL,2,AL.INP,1
